interconnectivity_p,overall_risk_f_001,local_risk_f_001,inflicted_risk_f_001
0.001,0.001186,0.0023314412072218595,4.393515171606708e-05
0.003,0.001198,0.0023226148069702512,7.977280704553432e-05
0.01,0.001018,0.0018426386585590566,0.00019571972934757427
0.03,0.000596,0.0008836253428546296,0.00030813064739449526
0.05,0.00045,0.0005781637519238897,0.00032101955811657826
0.075,0.000478,0.0005448281387709318,0.000411374710440131
0.1,0.000484,0.0005311416750531142,0.0004367057164377634
0.2,0.000556,0.0005494417351129364,0.0005625239371888166
0.3,0.000748,0.0007725624254457245,0.0007234733114292795
0.4,0.000898,0.0009073503371585945,0.0008886362635647123
0.5,0.000992,0.0010355857656937225,0.0009483793517406963
