country,N,gini,mean_strength
AFG,34,0.14830171261387742,14575920.588235294
AGO,18,0.13839397062920386,14324438.0
ALB,12,0.18589709749991942,18210515.333333332
ARG,24,0.18676017659866478,1656612.5
AUT,35,0.17514459750271497,52389165.14285714
BDI,17,0.12478857844305813,44441041.176470585
BEL,44,0.25135653864498214,43060966.90909091
BEN,12,0.12150523105050341,9445712.666666666
BFA,13,0.0753319197903642,7302578.769230769
BGR,28,0.07914050122571992,26238873.714285713
BRA,27,0.21840607589938324,494903.85185185185
BTN,20,0.06689372883385661,88361160.8
BWA,11,0.0670401464446793,48123000.36363637
CAN,13,0.4579249696343553,1493240.0
CHE,26,0.36565521480811897,38500838.615384616
CHL,16,0.11059154662733008,1812392.0
CIV,14,0.05298166035951459,3919327.714285714
COD,24,0.2749086889333559,17043845.0
COL,33,0.4750661162494756,3887390.0606060605
CPV,20,0.23437271052757488,305154909.2
CZE,14,0.10026038929271729,5746811.428571428
DEU,400,0.22610556244657348,67065200.55
DNK,11,0.15035506706464036,12650442.181818182
DOM,32,0.09607137764279393,12231752.0
DZA,48,0.1690137683875252,2316440.6666666665
ECU,24,0.24066402680660354,5026108.166666667
EGY,27,0.20574886534356926,1388980.0
ESP,59,0.2337368044980917,10106885.694915254
FIN,19,0.09219686377807763,22516964.0
FRA,101,0.14405422628482953,11199370.01980198
GEO,12,0.1856605288139815,6580314.333333333
GHA,16,0.13605865411551193,6761980.75
GRC,52,0.1179178869897423,71077777.92307693
GTM,22,0.11857078195987401,3891615.6363636362
HND,18,0.15864597940281633,7746186.666666667
HRV,21,0.14483332534174942,37548571.809523806
HUN,20,0.09028961211425418,16217615.8
IDN,34,0.1987018359555419,936387.6470588235
IND,35,0.30935028067759496,395582.0571428572
IRQ,18,0.13776315060558122,1966034.888888889
ITA,107,0.1417985256232644,25209399.626168225
JAM,14,0.12667575620209506,37748215.428571425
JOR,12,0.2193076544296193,8055311.0
JPN,47,0.07567197282252758,2950730.8085106383
KAZ,14,0.11666696429065274,3874221.4285714286
KEN,47,0.11032154321090985,14450032.255319148
KHM,25,0.155542951606716,9350381.76
KOR,17,0.09286300205726357,2902044.2352941176
LAO,18,0.12247770295236092,12415171.333333334
LBR,13,0.30152022017554997,44998713.84615385
LBY,22,0.308258085610578,8510150.181818182
LKA,25,0.29752005596864195,17229304.96
MAR,15,0.1312552909776138,1491112.8
MDA,37,0.13768060634788817,22612724.0
MEX,32,0.12876751518664806,438378.5
MMR,15,0.08978696399614514,1547619.4666666666
MNG,22,0.16974763485978722,18452439.818181816
MOZ,11,0.054675951363068194,6085630.181818182
MRT,12,0.16058087434763868,16548365.666666666
MWI,27,0.10195542201445673,37443481.18518519
MYS,16,0.14940426964829695,2942596.0
NGA,37,0.10667355270117582,2662587.243243243
NIC,17,0.16391387366090399,8634437.411764706
NLD,40,0.19526489430210928,18980478.1
NOR,16,0.18970692458486535,25487228.25
NZL,16,0.24351118398460087,7709517.5
PAN,13,0.1928827308103101,20816120.923076924
PER,26,0.1326595254433434,2111331.6923076925
PHL,81,0.23892538594314855,2655505.3333333335
PNG,22,0.10749370032854952,43522930.90909091
POL,73,0.08372646895951738,15440970.410958905
PRT,26,0.17066870982861398,25308369.076923076
PRY,18,0.17390658436313816,20520584.888888888
ROU,42,0.11408197111248033,16592226.285714285
RUS,78,0.14407227933006675,13816294.205128206
SAU,13,0.08438494848825381,960093.5384615385
SDN,18,0.13779802913329156,3389890.4444444445
SEN,14,0.055365774268419196,7343314.0
SLV,14,0.11350658560892639,5299415.428571428
SOM,17,0.19121925140884646,24168981.411764707
SRB,25,0.14160195614965465,38516545.92
SVN,12,0.08004670011627295,57173900.0
SWE,21,0.08871097404584583,11529274.285714285
TCD,21,0.15161563551674015,23860199.61904762
THA,77,0.08018754600511295,5387328.623376624
TUN,24,0.09535750353866071,5636705.666666667
TUR,81,0.15277057627367016,14370315.061728396
TZA,31,0.07645612994485758,15822065.41935484
UGA,50,0.1565999906519769,47837280.24
UKR,24,0.13715567913575225,1625994.6666666667
URY,19,0.1497542453139123,24137857.89473684
UZB,14,0.08850886415817416,5622496.0
VEN,24,0.14924020010545058,2393960.0
VNM,63,0.14735379897007891,2000513.9047619049
YEM,20,0.11262970045253431,12806277.6
