nodeID_from,nodeID_to,country_name,country_ISO3
1,2,Germany,DEU
2,3,Germany,DEU
4,5,Germany,DEU
8,9,Germany,DEU
14,15,Germany,DEU
15,16,Germany,DEU
21,22,Germany,DEU
25,26,Germany,DEU
27,28,Germany,DEU
29,30,Germany,DEU
16,31,Germany,DEU
5,31,Germany,DEU
32,33,Germany,DEU
33,34,Germany,DEU
35,36,Germany,DEU
9,36,Germany,DEU
37,38,Germany,DEU
38,39,Germany,DEU
40,41,Germany,DEU
42,43,Germany,DEU
43,44,Germany,DEU
45,46,Germany,DEU
46,47,Germany,DEU
46,48,Germany,DEU
49,50,Germany,DEU
57,58,Germany,DEU
59,60,Germany,DEU
60,61,Germany,DEU
60,62,Germany,DEU
65,66,Germany,DEU
59,66,Germany,DEU
67,68,Germany,DEU
68,69,Germany,DEU
70,71,Germany,DEU
71,72,Germany,DEU
77,78,Germany,DEU
33,79,Germany,DEU
80,81,Germany,DEU
82,83,Germany,DEU
84,85,Germany,DEU
85,86,Germany,DEU
89,90,Germany,DEU
90,91,Germany,DEU
90,92,Germany,DEU
93,94,Germany,DEU
97,98,Germany,DEU
93,99,Germany,DEU
34,86,Germany,DEU
89,100,Germany,DEU
100,101,Germany,DEU
100,102,Germany,DEU
103,104,Germany,DEU
105,106,Germany,DEU
5,106,Germany,DEU
107,108,Germany,DEU
108,109,Germany,DEU
112,113,Germany,DEU
113,114,Germany,DEU
32,117,Germany,DEU
118,119,Germany,DEU
109,120,Germany,DEU
121,122,Germany,DEU
125,126,Germany,DEU
121,126,Germany,DEU
126,127,Germany,DEU
44,128,Germany,DEU
129,130,Germany,DEU
21,130,Germany,DEU
131,132,Germany,DEU
132,133,Germany,DEU
129,138,Germany,DEU
43,138,Germany,DEU
139,140,Germany,DEU
142,143,Germany,DEU
143,144,Germany,DEU
143,145,Germany,DEU
143,146,Germany,DEU
147,148,Germany,DEU
149,150,Germany,DEU
103,150,Germany,DEU
151,152,Germany,DEU
153,154,Germany,DEU
154,155,Germany,DEU
154,156,Germany,DEU
154,157,Germany,DEU
158,159,Germany,DEU
130,159,Germany,DEU
160,161,Germany,DEU
40,162,Germany,DEU
142,163,Germany,DEU
166,167,Germany,DEU
168,169,Germany,DEU
118,171,Germany,DEU
171,172,Germany,DEU
34,173,Germany,DEU
174,175,Germany,DEU
84,147,Germany,DEU
178,179,Germany,DEU
26,180,Germany,DEU
189,190,Germany,DEU
29,86,Germany,DEU
193,194,Germany,DEU
99,197,Germany,DEU
121,197,Germany,DEU
199,200,Germany,DEU
172,201,Germany,DEU
69,202,Germany,DEU
203,204,Germany,DEU
25,204,Germany,DEU
204,205,Germany,DEU
70,206,Germany,DEU
70,207,Germany,DEU
210,211,Germany,DEU
211,212,Germany,DEU
213,214,Germany,DEU
218,219,Germany,DEU
219,220,Germany,DEU
221,222,Germany,DEU
224,225,Germany,DEU
